role,path,bytes,sha256,categories
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvhdl_t04_phase_scale_s48_x_1953125.log,308,3c254e87f258325bfb137511ef1969a20a023746d47f5ff308d6ddaf2da4393c,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvhdl_t04_square_s43.log,263,654074ba616ca8d5866b364f7410c3536e9bf5e5a17d894d6e1abf3cdfff7c84,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvhdl_t04_square_u42.log,263,aa1362184cd543096c08e5b2a74afc22d13035bb7b3d97b91b186ec88fb798e6,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvlog.log,2015,113d2723804f146c67b7720477ace9501d3a2433432e28af35d72a9fab9565cd,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/source_input_manifest_post.csv,6061,014c32de256bc7c8fada52a65a5e11f22bd3fc5537460bd9aafa348b0586e552,service
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/source_input_manifest_pre.csv,6061,014c32de256bc7c8fada52a65a5e11f22bd3fc5537460bd9aafa348b0586e552,service
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/wrapper_final_status.json,966,2babad95d83d64fd6138557340060804304c0e58d35714b3979a090ebdabcef9,service
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/fixture_source/bit_true_artifact_hashes.csv,11076,4cdd4592b6306c7a50c0300baf5f3d270a9d15d043df9e714457e23be5e8c0de,physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/fixture_source/bit_true_selected_case_results.csv,30132,a58beaf8e021645d0087ab08754224747f13e2190c25cb6ab8efeff8690f9526,fixture9;smoke;full91;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/case_index.csv,15711,71ec4b97f5eeee4fa474c9a560e49f949ca5f32c0b0b398179bbcb1bc54d2a7e,fixture9;smoke;full91;unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/expected_metrics.mem,1894347,ec5c589f13d1dc34ad94e838af20ea5589615e03c4e7412e5196e2691fffbae4,fixture9;smoke;full91
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/expected_results.mem,5915,f570d4c625bfa64177f5cb7e49061257f832c56eb6b61c4444bc03072043f6c1,fixture9;smoke;full91;unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/fixture_schema.json,6834,e06b3e9d798c6e65247b523116e672626c3b841c9d4660376d73a5f4bc0739fc,fixture9;smoke;full91;unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/fixture_sha256.csv,666,23874b3c845cc4f7a4c6bc6506e93f6187f107e0a497f07ee63505e7828eb9ee,fixture9;smoke;full91;unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/stimulus_beats.mem,2306304,29427b1fd3ece8558693e843eb3bf15995eb3138b976d0acce114333503cc38f,fixture9;smoke;full91;unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/VALIDATION_PASS.txt,1374,3fbb3d6a22a6e57ced7b12555abda6ff33feaea3b3916d89984436a18914674a,unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/rtl_fixture_q3_45_current_generation/vendor_oracle_alignment.csv,16150,c8a9e4b466dc9a1db1d33f95dff870b325a391e894639053a603e333fcd43db2,fixture9
input,reports/T04_coarse_to_cfo/current_generation_fixture_v2/attempt_20260901T203107511Z_21372_fb5ee6a5/t04_current_generation_fixture_selector.json,1903,35571a80c4b9624745e501dd8045e3b3cfc6c4493477c44b7dfabca90b3610b7,fixture9;smoke;full91;unit_rebind;service;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_full91_v2/attempt_20260901T211239202Z_31520_7878f800/source_input_manifest_post.csv,4455,07c887e252709484936fa49432c636c6b0ac8050a87810c4bfedee109a4eee94,full91
input,reports/T04_coarse_to_cfo/current_generation_full91_v2/attempt_20260901T211239202Z_31520_7878f800/source_input_manifest_pre.csv,4455,07c887e252709484936fa49432c636c6b0ac8050a87810c4bfedee109a4eee94,full91
input,reports/T04_coarse_to_cfo/current_generation_full91_v2/attempt_20260901T211239202Z_31520_7878f800/wrapper_final_status.json,1270,2681998b8f82d16dc48c2bebea72d2f628d62a600e9a0aa89dd57ceea103c97a,full91;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_full91_v2/attempt_20260901T211239202Z_31520_7878f800/xsim.log,1703,e9d122784134eb73209d9d7ad8e4dc5f14cdd82a244125492c5580c112f13c51,full91;physical;psf
input,reports/T04_coarse_to_cfo/current_generation_physical_rebind_v2/attempt_20260901T220538336Z_16896/source_input_manifest_post.csv,7456,86862fb69b1e37853056e282fe668080c3362c4aa2f75b57ec5d739bea7f2669,physical
input,reports/T04_coarse_to_cfo/current_generation_physical_rebind_v2/attempt_20260901T220538336Z_16896/source_input_manifest_pre.csv,7456,86862fb69b1e37853056e282fe668080c3362c4aa2f75b57ec5d739bea7f2669,physical
input,reports/T04_coarse_to_cfo/current_generation_physical_rebind_v2/attempt_20260901T220538336Z_16896/T04_CURRENT_GENERATION_PHYSICAL_REBIND_V2.json,1869,818e2f892b03207a2e1cd6fdf3862278283501b439a496134058205f61e2d2d5,physical
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/automatic_comparison.txt,860,3621e1f067b883d175ad31eebb4268231a3903322a4a9e4cbf77e1108fdd56b1,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/compile_source_list.txt,355,ac19ce7bfbfc2c2dfe8c52960314e383e8154f7de1ed8fa61080cec1eb08fc53,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/input_sha256.csv,9657,50b4ea9867ca384ecc51fb392ddab12978cc8f1d60cf1311f7675108002c12a4,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/post_synth_observed_results.csv,5641,fd1b27c57eca5fc55ce48badffe49335c17fcb39942a8394ea09491e674ad9ff,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/result_sha256.csv,3254,e754d161860f08105f87b160c449885413b7f74f41d4124b4e22c19be1437477,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/source_input_manifest_post.csv,9657,50b4ea9867ca384ecc51fb392ddab12978cc8f1d60cf1311f7675108002c12a4,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/source_input_manifest_pre.csv,9657,50b4ea9867ca384ecc51fb392ddab12978cc8f1d60cf1311f7675108002c12a4,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/T04_CURRENT_GENERATION_V2_POST_SYNTH_FUNCTIONAL_EVIDENCE.md,1790,f064b9958d1b6090844d6a5600d4865ef46607ae8365bf03c8ae3ff2bfd28b6e,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/T04_CURRENT_GENERATION_V2_POST_SYNTH_FUNCTIONAL_PASS.txt,1854,12300f01ef00fc05b4c6bd9b066bd5cc8ddc8bfb8031eada7a066f3f621b886b,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/T04_CURRENT_GENERATION_V2_POST_SYNTH_UNDERGRADUATE_REPORT_ZH.md,1645,6768f20e5c8fd02fd1ba324a6d0649c8b82fa25f31282998d16a2d0c67260a37,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/xelab.log,3193,1c045aa9037ad832af87ce1bdd50b10b5bf78ac5c806956ff34d16c234259e24,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/xsim_console.log,1158,ddb200fe91737540e3dd02b86c28fc63ee19db3f7f0986accf7e1bd871503ca9,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/xsim.log,1821,1d71a4d7445489e29330e9185deff9011af90927eebfffdc098c9ded5cd7234b,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/xvlog_netlist.log,33143,84f9cbf5912719dc1590424dad5ef8d3cff3901ea8cbfa2e025ee11e18908a3e,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/xvlog_testbench.log,357,d7d517c1523f600319deb15b7cd3378168c75910357d5b9e7ec3c67c4a8ebd49,psf
input,reports/T04_coarse_to_cfo/current_generation_post_synth_v2/attempt_20260901T212420635Z_29028/xvlog_version.log,26,ddc8f664af54a9d495ca99c39b8a61e001964f92c850839e314d15dcb235e0a3,psf
input,reports/T04_coarse_to_cfo/full_top_ooc/run03/125mhz/summary.txt,872,bc219d9e0b66927ffde26c0a557101e41d07bbb8d72b9eca25e372d0fbd78969,physical;psf
input,reports/T04_coarse_to_cfo/full_top_ooc/run03/125mhz/t04_coarse_sync_post_synth_top_funcsim.v,6196583,72593831fb04743e75f42be5c8c34ec26eab489f12c33fb4c70dc22843fe6efb,physical;psf
input,reports/T04_coarse_to_cfo/full_top_ooc/run03/125mhz/t04_coarse_sync_post_synth_top_linked.dcp,4654799,3d76b2177e476cb36a5f6216ea739a9297d814438b51155a9809914c94776cf0,physical;psf
input,reports/T04_coarse_to_cfo/full_top_ooc/run03/evidence_sha256.csv,13659,c0f9dadc7e77a9be0f60194844ae6483b9fb626f5f6b2f557f7080c97e7d52a2,physical;psf
input,reports/T04_coarse_to_cfo/full_top_ooc/run03/ooc_gate.json,8359,9f511c28a0c77bceeaca73983b17ad0a28e895fab215b3cefea1f62684533207,physical;psf
input,reports/T04_coarse_to_cfo/full_top_ooc/run03/T04_FULL_TOP_OOC_PASS.txt,169,c45f39efde9d59446c1edb6221c3e5ff3f906c368281f9cbff197df15efe0d25,physical;psf
input,reports/T04_coarse_to_cfo/original_sc_current_generation_handoff/attempt_20260901T153001094Z_34252_76b6cd9d/t04_current_generation_quantized_vectors.mat,4225053,63c1f35dc378cb28a3e8d9bcd512485bde1bf681f027e063cf43c15a97802955,t05_handoff
input,reports/T04_coarse_to_cfo/rtl_behavioral/phase_quality_q3_45_official_ip_run02/input_sha256_manifest.json,2594,90c9a2612fc7b2421de7d920bdf7b5423880cc901023f1ffdc1f269aa5e99154,reset_rebind
input,reports/T04_coarse_to_cfo/rtl_behavioral/phase_quality_q3_45_official_ip_run02/PHASE_QUALITY_Q3_45_ACCEPTANCE.md,601,6a14aaf84582b36531d8ce1e4514cb7c18695638b99da2bd2415067c9177bc69,reset_rebind
input,reports/T04_coarse_to_cfo/rtl_behavioral/phase_quality_q3_45_official_ip_run02/xsim_reset.log,6561,1c6c191357e8bce7eb7a9fd2d92893aa611437ff7bfecdb1ac6aa97bf1676435,reset_rebind
input,reports/T04_coarse_to_cfo/T04_ACCEPTANCE.json,132690,29298e409bb660895fb6bf801f568dc4326ff284832b254e262df61972e83d33,canonical_read_only_guard
input,reports/T04_coarse_to_cfo/T04_ACCEPTANCE.txt,87273,50ad32bf7cb8202fcca17cec2267ba9b3f6fedc61a50613ecc8418d0ae65845c,canonical_read_only_guard
input,reports/T04_coarse_to_cfo/t04_t05_acquisition_domain_v2_recertification/attempt_20260901T193336065Z_23056_be9c1972/completion.json,1159,1fbd201094f9689f9dd632bcd265d6ba3dd5feae678dce691f9ff2a53b39140f,recert
input,reports/T04_coarse_to_cfo/t04_t05_acquisition_domain_v2_recertification/attempt_20260901T193336065Z_23056_be9c1972/evidence_sha256.csv,5334,d6813acc8dda0d8592edf702ec270084e6c6918044aae8bf2a3f22a4c2f225b1,recert
input,reports/T04_coarse_to_cfo/t04_t05_acquisition_domain_v2_recertification/attempt_20260901T193336065Z_23056_be9c1972/t04_t05_acquisition_domain_v2_summary.json,2643,546a6a2f71f4f5369457687280b2a4fe926a288e4da20d17af1740e381c30018,recert
input,reports/T04_coarse_to_cfo/t04_t05_acquisition_domain_v2_recertification/attempt_20260901T193336065Z_23056_be9c1972/wrapper_final_status.json,1188,109b0d21de1862f115512468c4f4c51ae21f80527b4c48b127993f62f9801c5b,recert
input,rtl/common/bistatic_stream_pkg.sv,2233,7c2551aa0d2827fd04515a9e782b6c015a4d26ac050303823f0c69cda49dda83,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_coarse_sync_post_synth_top.sv,2127,b8f171ae9e13b1ae5721fd067ce41eb0dff74b6652dbf2a38b5b252d2e0e4ee1,physical;psf
input,rtl/t04/t04_coarse_sync.sv,21598,a6d22c823b2acd53e244f37b3245e3419ae252f438ef05ec98372c7f650770ba,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_corr_energy_4lane.sv,8354,d23cebb433d6361d1e80044eca7b58180ddbe8008b7f00868fc9029bbcab5899,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_lag1024_beat_ring.sv,10340,7a49639e4e9758500ecf7ccd7e137e15f977215f809bcaf5667dee7f3dfe66b2,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_metric_threshold.sv,6889,b369459c1809649eea31b7d4f78374f874dc089525ea22d8f115a2c00a4e7e5c,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_phase_quality_engine.sv,9148,00ea6dd56ab707ca512ad020ee1f9cf4b40959f455e278283797346c75b73f48,smoke;full91;unit_rebind;service;reset_rebind;core_unchanged;physical;psf
input,rtl/t04/t04_plateau_selector.sv,5957,1cc49d5a70a494444d3b7cbe07aec4b329a97c0b7e4e3638c7b31d66315966d8,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_result_pair_fifo.sv,2839,2d9a7999abc99213257adc301befdbeb0a3b0d22ae67d71ac4e96bc0e9f7de34,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_rolling_sc_accumulator.sv,7148,6cb46c508d1d5e5cfccaf0af5751c56b3692af7fcc2596d28f955649456c0947,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,rtl/t04/t04_safe_phase_replay.sv,5650,cf45407d5b02800e0fb9379f8bc27328c29c975aa0a018ad18ee30ebdb790c23,smoke;full91;unit_rebind;service;core_unchanged;physical;psf
input,scripts/t04/probe_t04_ip_refs_from_dcp.tcl,2575,be39ab67934cd39672cb5d03dbd8c1a8b1bbf981680e215900f93466bc2734e5,physical;psf
input,scripts/t04/recover_t04_ooc_from_existing_runs.tcl,12833,431e0643b0c9f88a2ee3530d98170ef40acb98083cb7372821961573fe59ff7f,physical;psf
input,scripts/t04/recover_t04_ooc_run.ps1,8794,f1c4c3e214f9daa4b03a5da41ebb05a1dcb1d04068ad4d39c512c54836718ac7,physical;psf
input,scripts/t04/run_t04_current_generation_behavioral_smoke_v2.ps1,15047,8a56532cd135b14952beb6973c54545b37bffc167d7a8e70e775af88171d2dbb,smoke
input,scripts/t04/run_t04_current_generation_exception_service_v2_attempt.ps1,11416,95114d9987ef2f3e1f7eedd0049c7e35871d9be0707834d51dae36492d350943,service
input,scripts/t04/run_t04_current_generation_exception_service_v2.ps1,31399,bea8d33c453b1441c3ea5506da55d23e4febe8da3670b2dfaa35c87bd8d84e09,unit_rebind;service
input,scripts/t04/run_t04_current_generation_full91_post_synth_v2.ps1,54391,509b2fd51e03f334395b5928624bd0e37d6838472327a68e2ad653f26172c68e,physical;psf
input,scripts/t04/run_t04_current_generation_full91_v2.ps1,20701,aab13480f54d692bd57540c2bb5d3fe4b8f9665838d436b03b19a2260c4da6de,full91
input,scripts/t04/run_t04_ooc.ps1,32655,6b62fc4cee94c384c31deef66d011d505a89c98913bd5ca4550db739aedb893d,physical;psf
input,scripts/t04/run_t04_phase_quality_q3_45_official_ip.ps1,10872,b5a548eb659fdca3e6d860047a6ef505f38ea1debef3e5a98bb541912ca6edc5,reset_rebind
input,scripts/t04/synth_t04_coarse_sync_ooc.tcl,22483,4344713f0df5d333a501dc5d1fb0689b52ba6a499ee2bc2fadeb12770a41b154,physical;psf
input,taskbook/Codex_RTL_Taskbook_V3/02_EXECUTION_ACCEPTANCE_PROTOCOL.md,6359,c026e08297d552585ffe806f20edfaea792ffb7008ce9f69bc5f08282f1e388d,unit_rebind;service
input,taskbook/Codex_RTL_Taskbook_V3/tasks/T04_COARSE_TO_CFO.md,3196,e286d0b8966f20c73327d978c6943c2f1ce128ee3b779c076daa2884c63dc7fc,unit_rebind;service
input,tb/t04/t04_coarse_sync_current_generation_v2_tb.sv,19046,55b0e617ac74694af31d4febedf19ff78df49b9abb9d62d16baa31c5651a26f7,smoke;full91
input,tb/t04/t04_coarse_sync_exception_service_tb.sv,34966,5404ed91591038e4fdcf5526072587e6c724238722f94de4afd6863bd6e18ff9,unit_rebind;service
input,tb/t04/t04_coarse_sync_full91_post_synth_current_generation_v2_tb.sv,18398,e54f738e04485408d4ac35aca9d85a0d4804ae30ad0f4941fd06dfd7d0b059db,physical;psf
input,tb/t04/t04_phase_quality_engine_q3_45_tb.sv,6637,98e38ac8e1d06cd6972dee95af0bab75d89f94664db8d427a61a384871a15429,reset_rebind
input,tb/t04/t04_phase_quality_reset_flush_q3_45_tb.sv,14756,7a6639eab6104a480b7194198630dea82ea2f9ea1aab676ea5d5fc97af14ff8f,reset_rebind
output,T04_CURRENT_GENERATION_V2_ACCEPTANCE.json,4331,39f7ed2223b81bfe4df92c66469d27d2a682ed07ed4fadb0d66077034138d8a3,publication
output,T04_CURRENT_GENERATION_V2_ACCEPTANCE.txt,865,8c0fb0588a6855e7218c8e95a05b3f110719eca17cc1d957a53d3723593236b6,publication
output,T04_CURRENT_GENERATION_V2_ACCEPTANCE.md,923,97685d2e0a4f7b92f0e1e1275c7bff9d23c67e25920cb8f9c2335f278d90a1b7,publication
output,T04_CURRENT_GENERATION_V2_ACCEPTANCE_UNDERGRADUATE_ZH.md,1221,54cab68a5ed6ccf21949d4223ea5465792c0aba824186dedac1af3f5a845842f,publication
