sample_index_0,signal_time_us,i_i16,q_i16,dma_u32
208,0.416,-1,-2,4294901759
209,0.418,7,7,458759
210,0.42,-2,-9,4294443006
211,0.422,2,-7,4294508546
212,0.424,3,3,196611
213,0.426,7,-9,4294377479
214,0.428,-4,10,720892
215,0.43,-8,4,327672
216,0.432,8,-5,4294639624
217,0.434,-7,7,524281
218,0.436,9,0,9
219,0.438,6,9,589830
220,0.44,-7,-2,4294901753
221,0.442,1,5,327681
222,0.444,5,5,327685
223,0.446,6,7,458758
224,0.448,-3,10,720893
225,0.45,-4,-1,4294967292
226,0.452,-5,-5,4294705147
227,0.454,-2,-3,4294836222
228,0.456,10,-9,4294377482
229,0.458,3,9,589827
230,0.46,5,-2,4294836229
231,0.462,5,5,327685
232,0.464,6,1,65542
233,0.466,-2,-3,4294836222
234,0.468,-7,-7,4294574073
235,0.47,-3,-1,4294967293
236,0.472,-3,6,458749
237,0.474,0,-4,4294705152
238,0.476,-3,8,589821
239,0.478,2,-2,4294836226
240,0.48,0,-2,4294836224
241,0.482,4,-1,4294901764
242,0.484,1,-3,4294770689
243,0.486,-8,1,131064
244,0.488,-4,2,196604
245,0.49,-9,-1,4294967287
246,0.492,3,0,3
247,0.494,1,3,196609
248,0.496,-4,-9,4294443004
249,0.498,3,-8,4294443011
250,0.5,8,-6,4294574088
251,0.502,-7,9,655353
252,0.504,-1,3,262143
253,0.506,3,-3,4294770691
254,0.508,-4,-5,4294705148
255,0.51,9,1,65545
256,0.512,2,-4,4294705154
257,0.514,-9,-5,4294705143
258,0.516,-1,-10,4294377471
259,0.518,7,-6,4294574087
260,0.52,-10,-4,4294770678
261,0.522,7,9,589831
262,0.524,-3,5,393213
263,0.526,-6,4,327674
264,0.528,7,-4,4294705159
265,0.53,4,9,589828
266,0.532,9,1,65545
267,0.534,-9,5,393207
268,0.536,-10,1,131062
269,0.538,5,-5,4294639621
270,0.54,2,8,524290
271,0.542,9,-6,4294574089
272,0.544,-6,-9,4294443002
273,0.546,3,2,131075
274,0.548,-5,-2,4294901755
275,0.55,2,7,458754
276,0.552,-9,-5,4294705143
277,0.554,6,-3,4294770694
278,0.556,-10,9,655350
279,0.558,5,-9,4294377477
280,0.56,5,8,524293
281,0.562,3,-10,4294311939
282,0.564,-3,10,720893
283,0.566,-7,-1,4294967289
284,0.568,6,-3,4294770694
285,0.57,-3,6,458749
286,0.572,6,-10,4294311942
287,0.574,4,-2,4294836228
288,0.576,2,1,65538
289,0.578,3,2,131075
290,0.58,8,1,65544
291,0.582,-3,-4,4294770685
292,0.584,4,-8,4294443012
293,0.586,6,5,327686
294,0.588,-3,10,720893
295,0.59,-2,6,458750
296,0.592,-10,-6,4294639606
297,0.594,7,3,196615
298,0.596,-2,7,524286
299,0.598,-2,5,393214
300,0.6,-4,-3,4294836220
301,0.602,-3,-10,4294377469
302,0.604,3,-8,4294443011
303,0.606,8,-4,4294705160
304,0.608,0,-4,4294705152
305,0.61,3,6,393219
306,0.612,-1,3,262143
307,0.614,-1,7,524287
308,0.616,-1,0,65535
309,0.618,8,5,327688
310,0.62,-5,-7,4294574075
311,0.622,-7,3,262137
312,0.624,-5,2,196603
313,0.626,-8,10,720888
314,0.628,6,-5,4294639622
315,0.63,-2,-3,4294836222
316,0.632,-9,5,393207
317,0.634,6,6,393222
318,0.636,-4,-9,4294443004
319,0.638,4,-9,4294377476
320,0.64,3,-2,4294836227
321,0.642,-1,-9,4294443007
322,0.644,-7,-1,4294967289
323,0.646,-6,0,65530
324,0.648,-8,3,262136
325,0.65,4,8,524292
326,0.652,4,-4,4294705156
327,0.654,4,8,524292
328,0.656,-8,8,589816
329,0.658,1,8,524289
330,0.66,4,-6,4294574084
331,0.662,-1,1,131071
332,0.664,6,-6,4294574086
333,0.666,8,7,458760
334,0.668,0,3,196608
335,0.67,-7,-2,4294901753
336,0.672,0,6,393216
337,0.674,10,10,655370
338,0.676,-9,-6,4294639607
339,0.678,2,7,458754
340,0.68,-10,-3,4294836214
341,0.682,0,6,393216
342,0.684,7,-10,4294311943
343,0.686,-3,8,589821
344,0.688,-10,6,458742
345,0.69,-1,-3,4294836223
346,0.692,-4,-9,4294443004
347,0.694,-10,6,458742
348,0.696,9,6,393225
349,0.698,-8,-2,4294901752
350,0.7,2,5,327682
351,0.702,-5,-8,4294508539
352,0.704,4,0,4
353,0.706,-10,-4,4294770678
354,0.708,9,-5,4294639625
355,0.71,7,-3,4294770695
356,0.712,0,-10,4294311936
357,0.714,-2,-5,4294705150
358,0.716,-8,-6,4294639608
359,0.718,2,8,524290
360,0.72,6,0,6
361,0.722,6,-5,4294639622
362,0.724,-1,-1,4294967295
363,0.726,8,0,8
364,0.728,-3,2,196605
365,0.73,-5,1,131067
366,0.732,4,-7,4294508548
367,0.734,9,10,655369
368,0.736,-5,-9,4294443003
369,0.738,1,-3,4294770689
370,0.74,5,4,262149
371,0.742,-3,3,262141
372,0.744,3,-2,4294836227
373,0.746,1,-10,4294311937
374,0.748,-6,3,262138
375,0.75,4,2,131076
376,0.752,8,3,196616
377,0.754,-7,-5,4294705145
378,0.756,1,5,327681
379,0.758,1,0,1
380,0.76,6,-10,4294311942
381,0.762,10,0,10
382,0.764,-9,-10,4294377463
383,0.766,7,3,196615
384,0.768,3,5,327683
385,0.77,9,3,196617
386,0.772,-9,1,131063
387,0.774,9,6,393225
388,0.776,0,-2,4294836224
389,0.778,4,-4,4294705156
390,0.78,2,8,524290
391,0.782,-5,4,327675
392,0.784,6,-4,4294705158
393,0.786,-5,0,65531
394,0.788,-7,6,458745
395,0.79,-2,1,131070
396,0.792,4,3,196612
397,0.794,10,-7,4294508554
398,0.796,5,-5,4294639621
399,0.798,-9,-10,4294377463
400,0.8,1,7,458753
401,0.802,-8,9,655352
402,0.804,7,7,458759
403,0.806,10,9,589834
404,0.808,-1,-8,4294508543
405,0.81,-7,-6,4294639609
406,0.812,0,-8,4294443008
407,0.814,9,-10,4294311945
408,0.816,4,-4,4294705156
409,0.818,2,9,589826
410,0.82,10,-8,4294443018
411,0.822,-10,-5,4294705142
412,0.824,6,10,655366
413,0.826,-6,2,196602
414,0.828,-2,-10,4294377470
415,0.83,8,-3,4294770696
416,0.832,-8,9,655352
417,0.834,-8,-5,4294705144
418,0.836,-4,4,327676
419,0.838,-10,5,393206
420,0.84,5,10,655365
421,0.842,-5,7,524283
422,0.844,-4,-8,4294508540
423,0.846,-1,-7,4294574079
424,0.848,-7,9,655353
425,0.85,8,10,655368
426,0.852,-9,-3,4294836215
427,0.854,2,4,262146
428,0.856,6,-6,4294574086
429,0.858,-10,-4,4294770678
430,0.86,7,9,589831
431,0.862,-8,6,458744
432,0.864,-9,5,393207
433,0.866,10,3,196618
434,0.868,-9,-7,4294574071
435,0.87,-3,4,327677
436,0.872,2,9,589826
437,0.874,-1,10,720895
438,0.876,-10,10,720886
439,0.878,-2,-2,4294901758
440,0.88,-10,-2,4294901750
441,0.882,5,-5,4294639621
442,0.884,5,-7,4294508549
443,0.886,7,2,131079
444,0.888,5,5,327685
445,0.89,9,1,65545
446,0.892,3,-1,4294901763
447,0.894,-6,9,655354
448,0.896,-7,-9,4294443001
449,0.898,0,-4,4294705152
450,0.9,0,5,327680
451,0.902,6,9,589830
452,0.904,6,-9,4294377478
453,0.906,-3,10,720893
454,0.908,5,10,655365
455,0.91,-7,-1,4294967289
456,0.912,-9,-2,4294901751
457,0.914,-9,-7,4294574071
458,0.916,4,-7,4294508548
459,0.918,10,3,196618
460,0.92,-5,-4,4294770683
461,0.922,-7,-10,4294377465
462,0.924,-2,-6,4294639614
463,0.926,-5,10,720891
464,0.928,-9,-7,4294574071
465,0.93,-5,9,655355
466,0.932,-4,4,327676
467,0.934,-5,-8,4294508539
468,0.936,7,-9,4294377479
469,0.938,-6,-7,4294574074
470,0.94,0,7,458752
471,0.942,1,-9,4294377473
472,0.944,3,9,589827
473,0.946,-5,2,196603
474,0.948,6,-8,4294443014
475,0.95,-10,-2,4294901750
476,0.952,4,-6,4294574084
477,0.954,9,-9,4294377481
478,0.956,9,3,196617
479,0.958,4,0,4
480,0.96,9,2,131081
481,0.962,-9,9,655351
482,0.964,8,6,393224
483,0.966,-3,-4,4294770685
484,0.968,7,-4,4294705159
485,0.97,-4,10,720892
486,0.972,-7,9,655353
487,0.974,1,-6,4294574081
488,0.976,-1,-5,4294705151
489,0.978,9,-1,4294901769
490,0.98,-10,7,524278
491,0.982,-5,5,393211
492,0.984,-10,-2,4294901750
493,0.986,-1,0,65535
494,0.988,5,6,393221
495,0.99,-3,2,196605
496,0.992,-8,7,524280
497,0.994,-6,-10,4294377466
498,0.996,2,1,65538
499,0.998,8,2,131080
500,1,-7,2,196601
501,1.002,-10,-5,4294705142
502,1.004,5,6,393221
503,1.006,-8,6,458744
504,1.008,10,-3,4294770698
505,1.01,7,6,393223
506,1.012,5,0,5
507,1.014,-7,3,262137
508,1.016,0,7,458752
509,1.018,-9,9,655351
510,1.02,-5,1,131067
511,1.022,-8,-7,4294574072
512,1.024,-10,5,393206
513,1.026,-1,3,262143
514,1.028,-6,-7,4294574074
515,1.03,7,10,655367
516,1.032,-9,3,262135
517,1.034,-10,-10,4294377462
518,1.036,-3,-10,4294377469
519,1.038,7,-8,4294443015
520,1.04,9,-9,4294377481
521,1.042,-6,-10,4294377466
522,1.044,-9,5,393207
523,1.046,-1,-6,4294639615
524,1.048,-4,6,458748
525,1.05,10,7,458762
526,1.052,-8,6,458744
527,1.054,-2,-10,4294377470
528,1.056,4,-8,4294443012
529,1.058,-2,-9,4294443006
530,1.06,4,8,524292
531,1.062,1,-4,4294705153
532,1.064,4,10,655364
533,1.066,3,-4,4294705155
534,1.068,-1,-4,4294770687
535,1.07,-5,-6,4294639611
536,1.072,-6,-9,4294443002
537,1.074,7,10,655367
538,1.076,9,-10,4294311945
539,1.078,-10,-1,4294967286
540,1.08,9,-10,4294311945
541,1.082,0,-2,4294836224
542,1.084,4,8,524292
543,1.086,3,-7,4294508547
544,1.088,0,-2,4294836224
545,1.09,9,4,262153
546,1.092,8,3,196616
547,1.094,-4,9,655356
548,1.096,0,10,655360
549,1.098,-3,9,655357
550,1.1,-10,-7,4294574070
551,1.102,-6,9,655354
552,1.104,-7,9,655353
553,1.106,-5,-1,4294967291
554,1.108,1,-5,4294639617
555,1.11,8,0,8
556,1.112,5,9,589829
557,1.114,-7,-5,4294705145
558,1.116,-10,-9,4294442998
559,1.118,-1,6,458751
560,1.12,-10,-6,4294639606
561,1.122,4,1,65540
562,1.124,-2,4,327678
563,1.126,10,-8,4294443018
564,1.128,-6,-9,4294443002
565,1.13,8,-7,4294508552
566,1.132,3,-10,4294311939
567,1.134,5,6,393221
568,1.136,-8,-7,4294574072
569,1.138,7,-9,4294377479
570,1.14,-3,-3,4294836221
571,1.142,5,2,131077
572,1.144,1,-5,4294639617
573,1.146,6,4,262150
574,1.148,9,-7,4294508553
575,1.15,-5,3,262139
576,1.152,4,-1,4294901764
577,1.154,7,0,7
578,1.156,-7,5,393209
579,1.158,2,4,262146
580,1.16,-2,-5,4294705150
581,1.162,1,7,458753
582,1.164,9,4,262153
583,1.166,-3,3,262141
584,1.168,-10,7,524278
585,1.17,9,-4,4294705161
586,1.172,-10,5,393206
587,1.174,2,9,589826
588,1.176,-8,10,720888
589,1.178,3,5,327683
590,1.18,8,-5,4294639624
591,1.182,0,-9,4294377472
592,1.184,-4,-8,4294508540
593,1.186,-2,7,524286
594,1.188,7,5,327687
595,1.19,1,-6,4294574081
596,1.192,0,-5,4294639616
597,1.194,-5,-9,4294443003
598,1.196,-1,-2,4294901759
599,1.198,1,10,655361
600,1.2,9,-6,4294574089
601,1.202,-9,3,262135
602,1.204,-5,-10,4294377467
603,1.206,-7,5,393209
604,1.208,6,-10,4294311942
605,1.21,-1,4,327679
606,1.212,-10,-5,4294705142
607,1.214,0,1,65536
608,1.216,-7,4,327673
609,1.218,-3,5,393213
610,1.22,-4,3,262140
611,1.222,2,10,655362
612,1.224,-2,9,655358
613,1.226,1,8,524289
614,1.228,-8,10,720888
615,1.23,9,-4,4294705161
616,1.232,0,9,589824
617,1.234,7,-9,4294377479
618,1.236,4,1,65540
619,1.238,10,-2,4294836234
620,1.24,-5,4,327675
621,1.242,-1,9,655359
622,1.244,-6,-4,4294770682
623,1.246,7,9,589831
624,1.248,4,0,4
625,1.25,7,-8,4294443015
626,1.252,-2,-8,4294508542
627,1.254,6,7,458758
628,1.256,3,-5,4294639619
629,1.258,7,-1,4294901767
630,1.26,4,6,393220
631,1.262,7,-7,4294508551
632,1.264,-5,0,65531
633,1.266,-8,-7,4294574072
634,1.268,-5,1,131067
635,1.27,3,0,3
636,1.272,-9,4,327671
637,1.274,-3,-8,4294508541
638,1.276,-1,8,589823
639,1.278,-2,-2,4294901758
640,1.28,-6,-4,4294770682
641,1.282,6,2,131078
642,1.284,-1,4,327679
643,1.286,-9,-9,4294442999
644,1.288,10,-3,4294770698
645,1.29,-8,2,196600
646,1.292,10,-9,4294377482
647,1.294,9,-6,4294574089
648,1.296,1,7,458753
649,1.298,2,8,524290
650,1.3,10,5,327690
651,1.302,0,9,589824
652,1.304,0,-3,4294770688
653,1.306,8,8,524296
654,1.308,5,-4,4294705157
655,1.31,-1,0,65535
656,1.312,2,5,327682
657,1.314,6,3,196614
658,1.316,2,4,262146
659,1.318,-1,-10,4294377471
660,1.32,4,9,589828
661,1.322,-7,-8,4294508537
662,1.324,-5,4,327675
663,1.326,-5,7,524283
664,1.328,-8,-7,4294574072
665,1.33,10,-2,4294836234
666,1.332,-8,1,131064
667,1.334,4,10,655364
668,1.336,-5,-4,4294770683
669,1.338,-10,10,720886
670,1.34,0,1,65536
671,1.342,-4,-8,4294508540
672,1.344,-4,3,262140
673,1.346,-3,5,393213
674,1.348,4,3,196612
675,1.35,-4,3,262140
676,1.352,-5,3,262139
677,1.354,8,-3,4294770696
678,1.356,9,5,327689
679,1.358,-5,-7,4294574075
680,1.36,9,-6,4294574089
681,1.362,-9,1,131063
682,1.364,-5,-1,4294967291
683,1.366,-2,9,655358
684,1.368,3,-7,4294508547
685,1.37,9,-5,4294639625
686,1.372,4,5,327684
687,1.374,-7,-3,4294836217
688,1.376,-3,6,458749
689,1.378,0,6,393216
690,1.38,3,1,65539
691,1.382,1,10,655361
692,1.384,9,7,458761
693,1.386,4,9,589828
694,1.388,-3,10,720893
695,1.39,4,-5,4294639620
696,1.392,2,-3,4294770690
697,1.394,6,1,65542
698,1.396,2,-7,4294508546
699,1.398,-5,9,655355
700,1.4,5,-6,4294574085
701,1.402,7,3,196615
702,1.404,-10,-7,4294574070
703,1.406,3,-1,4294901763
704,1.408,-1,-8,4294508543
705,1.41,-2,-7,4294574078
706,1.412,-2,-6,4294639614
707,1.414,-8,-6,4294639608
708,1.416,-4,3,262140
709,1.418,-7,8,589817
710,1.42,5,-9,4294377477
711,1.422,-7,-5,4294705145
712,1.424,10,5,327690
713,1.426,4,3,196612
714,1.428,3,-7,4294508547
715,1.43,6,0,6
716,1.432,-1,-3,4294836223
717,1.434,1,-7,4294508545
718,1.436,9,2,131081
719,1.438,3,-6,4294574083
720,1.44,10,1,65546
721,1.442,-1,-7,4294574079
722,1.444,6,10,655366
723,1.446,0,10,655360
724,1.448,1,-3,4294770689
725,1.45,-2,8,589822
726,1.452,1,-4,4294705153
727,1.454,2,-6,4294574082
728,1.456,-9,-8,4294508535
729,1.458,0,6,393216
730,1.46,-4,-3,4294836220
731,1.462,1,-5,4294639617
732,1.464,-8,-8,4294508536
733,1.466,-5,6,458747
734,1.468,6,-8,4294443014
735,1.47,0,0,0
736,1.472,-1,0,65535
737,1.474,1,-10,4294311937
738,1.476,3,5,327683
739,1.478,-7,3,262137
740,1.48,-10,8,589814
741,1.482,2,4,262146
742,1.484,10,7,458762
743,1.486,7,-2,4294836231
744,1.488,3,-8,4294443011
745,1.49,-3,4,327677
746,1.492,2,10,655362
747,1.494,6,-9,4294377478
748,1.496,5,-5,4294639621
749,1.498,4,-10,4294311940
750,1.5,-5,5,393211
751,1.502,4,1,65540
752,1.504,-6,2,196602
753,1.506,-1,3,262143
754,1.508,10,-5,4294639626
755,1.51,7,-5,4294639623
756,1.512,-9,-1,4294967287
757,1.514,-3,5,393213
758,1.516,-7,3,262137
759,1.518,-9,-5,4294705143
760,1.52,2,5,327682
761,1.522,5,-1,4294901765
762,1.524,5,-10,4294311941
763,1.526,7,-4,4294705159
764,1.528,1,-6,4294574081
765,1.53,-10,-2,4294901750
766,1.532,6,-7,4294508550
767,1.534,-4,-5,4294705148
768,1.536,10,-8,4294443018
769,1.538,-6,-7,4294574074
770,1.54,-4,6,458748
771,1.542,8,10,655368
772,1.544,-1,-10,4294377471
773,1.546,-4,2,196604
774,1.548,1,8,524289
775,1.55,7,-4,4294705159
776,1.552,-6,-6,4294639610
777,1.554,1,6,393217
778,1.556,8,2,131080
779,1.558,1,-6,4294574081
780,1.56,0,5,327680
781,1.562,-7,-1,4294967289
782,1.564,1,-9,4294377473
783,1.566,8,3,196616
784,1.568,-8,-4,4294770680
785,1.57,-3,7,524285
786,1.572,4,7,458756
787,1.574,-8,4,327672
788,1.576,3,2,131075
789,1.578,-2,10,720894
790,1.58,-2,-8,4294508542
791,1.582,-9,-2,4294901751
792,1.584,-6,-4,4294770682
793,1.586,-1,-3,4294836223
794,1.588,-5,-8,4294508539
795,1.59,-6,10,720890
796,1.592,9,-7,4294508553
797,1.594,-2,9,655358
798,1.596,-1,6,458751
799,1.598,3,3,196611
800,1.6,10,5,327690
801,1.602,-5,-8,4294508539
802,1.604,-9,6,458743
803,1.606,-10,-8,4294508534
804,1.608,2,-8,4294443010
805,1.61,6,-10,4294311942
806,1.612,-6,-2,4294901754
807,1.614,8,2,131080
808,1.616,1,9,589825
809,1.618,3,4,262147
810,1.62,-1,9,655359
811,1.622,7,-6,4294574087
812,1.624,1,6,393217
813,1.626,7,8,524295
814,1.628,-1,-7,4294574079
815,1.63,4,8,524292
816,1.632,-5,3,262139
817,1.634,-5,-9,4294443003
818,1.636,-10,-3,4294836214
819,1.638,-1,9,655359
820,1.64,-7,-8,4294508537
821,1.642,-6,4,327674
822,1.644,0,-2,4294836224
823,1.646,-9,-3,4294836215
824,1.648,3,10,655363
825,1.65,8,1,65544
826,1.652,-8,1,131064
827,1.654,3,-7,4294508547
828,1.656,3,10,655363
829,1.658,-10,-4,4294770678
830,1.66,0,-4,4294705152
831,1.662,9,7,458761
832,1.664,-9,4,327671
833,1.666,0,10,655360
834,1.668,3,-4,4294705155
835,1.67,2,-6,4294574082
836,1.672,4,-4,4294705156
837,1.674,7,10,655367
838,1.676,7,5,327687
839,1.678,-1,4,327679
840,1.68,6,8,524294
841,1.682,-10,-3,4294836214
842,1.684,-1,-9,4294443007
843,1.686,-9,1,131063
844,1.688,-4,9,655356
845,1.69,0,8,524288
846,1.692,-4,7,524284
847,1.694,6,-10,4294311942
848,1.696,-1,0,65535
849,1.698,6,8,524294
850,1.7,6,2,131078
851,1.702,2,3,196610
852,1.704,-3,-9,4294443005
853,1.706,-9,6,458743
854,1.708,-7,4,327673
855,1.71,-5,-3,4294836219
856,1.712,0,6,393216
857,1.714,-8,6,458744
858,1.716,9,-7,4294508553
859,1.718,-8,2,196600
860,1.72,-2,-10,4294377470
861,1.722,10,-2,4294836234
862,1.724,-2,2,196606
863,1.726,-1,8,589823
864,1.728,6,6,393222
865,1.73,-10,4,327670
866,1.732,10,5,327690
867,1.734,4,7,458756
868,1.736,-8,10,720888
869,1.738,10,-1,4294901770
870,1.74,10,6,393226
871,1.742,-9,1,131063
872,1.744,-5,6,458747
873,1.746,-2,6,458750
874,1.748,7,-9,4294377479
875,1.75,9,4,262153
876,1.752,-4,0,65532
877,1.754,3,5,327683
878,1.756,-9,0,65527
879,1.758,-2,-9,4294443006
880,1.76,2,10,655362
881,1.762,5,8,524293
882,1.764,4,-9,4294377476
883,1.766,-10,1,131062
884,1.768,6,-3,4294770694
885,1.77,3,8,524291
886,1.772,-10,4,327670
887,1.774,-3,-10,4294377469
888,1.776,-7,7,524281
889,1.778,-10,-2,4294901750
890,1.78,6,-9,4294377478
891,1.782,6,0,6
892,1.784,9,-5,4294639625
893,1.786,-9,10,720887
894,1.788,3,-4,4294705155
895,1.79,9,-5,4294639625
896,1.792,-10,3,262134
897,1.794,-6,-8,4294508538
898,1.796,2,3,196610
899,1.798,-9,5,393207
900,1.8,6,-10,4294311942
901,1.802,-10,5,393206
902,1.804,-6,-1,4294967290
903,1.806,-2,6,458750
904,1.808,5,-3,4294770693
905,1.81,1,-4,4294705153
906,1.812,3,3,196611
907,1.814,-1,-5,4294705151
908,1.816,-5,5,393211
909,1.818,7,5,327687
910,1.82,-8,9,655352
911,1.822,-6,-9,4294443002
912,1.824,-8,-9,4294443000
913,1.826,-2,10,720894
914,1.828,2,7,458754
915,1.83,4,-3,4294770692
916,1.832,-2,8,589822
917,1.834,2,1,65538
918,1.836,-9,-8,4294508535
919,1.838,-6,0,65530
920,1.84,-3,4,327677
921,1.842,-1,9,655359
922,1.844,-2,3,262142
923,1.846,-1,10,720895
924,1.848,-1,-3,4294836223
925,1.85,7,1,65543
926,1.852,1,-1,4294901761
927,1.854,3,-1,4294901763
928,1.856,-1,4,327679
929,1.858,8,9,589832
930,1.86,-1,0,65535
931,1.862,1,-4,4294705153
932,1.864,-10,-10,4294377462
933,1.866,-2,4,327678
934,1.868,2,-9,4294377474
935,1.87,-1,-1,4294967295
936,1.872,4,-6,4294574084
